51.50853-0.12574	51.50853	0.12574	2001	1	10	9:00:00 PM	1.5	-1.13	994.913	82.316	1.036	3.61	12.64	109.09
51.50853-0.12574	51.50853	0.12574	2001	1	11	12:00:00 AM	1.28	-1.51	995.18	81.743	1.355	2.40	9.73	103.45
51.50853-0.12574	51.50853	0.12574	2001	1	11	3:00:00 AM	0.67	-1.83	996.134	83.48	2.49	17.10	7.78	104.11
51.50853-0.12574	51.50853	0.12574	2001	1	11	6:00:00 AM	0.73	-2.05	999.021	81.785	2.812	24.48	7.42	105.17
51.50853-0.12574	51.50853	0.12574	2001	1	11	9:00:00 AM	3.32	0.52	1002.216	81.555	3.951	17.34	9.81	108.29
51.50853-0.12574	51.50853	0.12574	2001	1	11	12:00:00 PM	4.28	-0.86	1004.985	69.1	4.337	5.28	14.17	103.92
51.50853-0.12574	51.50853	0.12574	2001	1	11	3:00:00 PM	2.9	-1.04	1008.053	75.6	5.808	16.96	9.10	102.22
51.50853-0.12574	51.50853	0.12574	2001	1	11	6:00:00 PM	2.62	-1.65	1009.679	73.6	7.154	11.92	-0.63	100.64
51.50853-0.12574	51.50853	0.12574	2001	1	11	9:00:00 PM	1.91	-2.95	1009.669	70.2	7.695	4.41	0.63	109.83
51.50853-0.12574	51.50853	0.12574	2001	1	12	12:00:00 AM	1.55	-4.42	1010.05	64.267	7.901	12.17	12.60	106.58
51.50853-0.12574	51.50853	0.12574	2001	1	12	3:00:00 AM	1.48	-4.85	1010.708	62.5	8.635	7.46	8.80	109.48
51.50853-0.12574	51.50853	0.12574	2001	1	12	6:00:00 AM	2.36	-5.41	1013.003	56.748	9.464	11.66	9.83	101.07
51.50853-0.12574	51.50853	0.12574	2001	1	12	9:00:00 AM	4.03	-6.01	1014.54	47.851	10.216	23.04	-0.70	105.96
51.50853-0.12574	51.50853	0.12574	2001	1	12	12:00:00 PM	3.83	-4.36	1014.765	55.184	9.991	8.20	12.92	107.82
51.50853-0.12574	51.50853	0.12574	2001	1	12	3:00:00 PM	2.3	-3.89	1016.622	63.5	9.652	17.67	13.05	107.32
51.50853-0.12574	51.50853	0.12574	2001	1	12	6:00:00 PM	2.39	-4.45	1017.896	60.8	9.234	13.38	6.15	104.07
51.50853-0.12574	51.50853	0.12574	2001	1	12	9:00:00 PM	1.65	-3.85	1018.176	66.7	8.632	16.28	5.50	101.06
51.50853-0.12574	51.50853	0.12574	2001	1	13	12:00:00 AM	1.19	-3.45	1018.425	71.2	8.411	2.45	-0.13	106.31
51.50853-0.12574	51.50853	0.12574	2001	1	13	3:00:00 AM	1.87	-3.45	1019.111	67.9	7.696	16.34	3.67	105.78
51.50853-0.12574	51.50853	0.12574	2001	1	13	6:00:00 AM	1.8	-2.95	1020.612	70.6	7.789	11.35	10.29	101.37
51.50853-0.12574	51.50853	0.12574	2001	1	13	9:00:00 AM	4.28	-2.88	1021.276	59.629	7.597	2.78	15.59	101.51
51.50853-0.12574	51.50853	0.12574	2001	1	13	12:00:00 PM	4.85	-1.43	1021.646	63.676	6.92	11.54	0.74	101.56
51.50853-0.12574	51.50853	0.12574	2001	1	13	3:00:00 PM	4.09	-0.71	1023.227	70.578	4.737	11.52	17.00	106.21
